monomer_smiles,product_repeating_unit,product_number_of_units,initiator_smiles,temperature,pressure,solvent,solvent_conc,solvent_model,monomer_state,polymer_state,comp_method,comp_functional,comp_basis_set,comp_dispersion,comp_forcefield,delta_h,delta_s,ceiling_temperature,polymerisation_comment,polymerisation_doi,polymerisation_link,,,,,,,,,,,,
C1COC1=O,,,,298.15,,,,,l,c,,,,,,-82.3,-74,,,,,,,,,,,,,,,,
CC1(COC1=O)C,,,,298.15,,,,,l,he,,,,,,-84,-74,,,,,,,,,,,,,,,,
C1CC(=O)OC1,,,,298.15,,,,,l,he,,,,,,5,-30,,,,,,,,,,,,,,,,
C=C1CCOC1=O,,,,,,,,,,,,,,,,-5.9,,,,,,,,,,,,,,,,,
O=C1CCCO1,,,,200,,,,,c,c,,,,,,5,-13,,,,,,,,,,,,,,,,
O=C1OCCC1,,,,,,,,,u,,,,,,,-5.4,-39.6,,,,,,,,,,,,,,,,
O=C1NCCO1,,,,,,,,,,,,,,,,-1.7,,,,,,,,,,,,,,,,,
O=C1CCCC(CC)O1,,,,,,,,,l,a,,,,,,-16.4,-55,,,,,,,,,,,,,,,,
O=C1CCCC(C)O1,,,,,,,,,s,s,,,,,,-13.8,-41.2,,,,,,,,,,,,,,,,
O=C1CCC(C)CO1,,,,300.15,,,,,l,a,,,,,,-15.8,-45,,,,,,,,,,,,,,,,
O=C1CC(C)CCO1,,,,419.15,,,,,l,c,,,,,,-14.3,-28.5,,,,,,,,,,,,,,,,
O=C1C(CCCCCCCCC)CCCO1,,,,300.15,,,,,l,a,,,,,,-16.8,-55,,,,,,,,,,,,,,,,
O=C1C(C)CCCO1,,,,,,,,,l,a,,,,,,-13,-34,,,,,,,,,,,,,,,,
O=C1C(C)OCCO1,,,,,,,,,l,a,,,,,,-9.9,-39.2,,,,,,,,,,,,,,,,
O=C1CCCC(CCC)O1,,,,,,,,,l,a,,,,,,-18.5,-60,,,,,,,,,,,,,,,,
O=C(O[C@H]1C)[C@H](C)OC1=O,,,,,,,,,s,s,,,,,,-23.9,-43.8,,,,,,,,,,,,,,,,
O=C(OCc1ccccc1)C2CC=CC2,,,,,,,,,,,,,,,,-21.02,,,,,,,,,,,,,,,,,
COC(=O)C1CCC(=O)OC1,,,,,,,,,,,,,,,,-15.2,,,,,,,,,,,,,,,,,
CCCCCCCCCC1CCCC(O1)=O,,,,,,,,,,,,,,,,-16.8,,,,,,,,,,,,,,,,,
CCCCCCCCCC1CCCC(=O)O1,,,,,,,,,,,,,,,,-16.8,,,,,,,,,,,,,,,,,
O=C1C(CCCCC)CCCO1,,,,,,,,,l,a,,,,,,-17.1,-54,,,,,,,,,,,,,,,,
O=C1CCCC(CCCC)O1,,,,300.15,,,,,l,a,,,,,,-17,-55,,,,,,,,,,,,,,,,
O=C1CCCC(CCCCCCC)O1,,,,300.15,,,,,l,a,,,,,,-18.7,-59,,,,,,,,,,,,,,,,
O=C1CCCC(CCCCCC)O1,,,,300.15,,,,,l,a,,,,,,-18.4,-58,,,,,,,,,,,,,,,,
CCCCCCCC1CCCC(=O)O1,,,,,,,,,,,,,,,,-18.7,,,,,,,,,,,,,,,,,
O=C1CCCC(O1)CCCCC,,,,372.15,,,,,l,c,,,,,,-20,-48.2,,,,,,,,,,,,,,,,
O=C1CCCCO1,,,,298.15,,,,,,,,,,,,-10.5,-15,,,,,,,,,,,,,,,,
O=C1CCOC(C)O1,,,,194.15,,,,,s,s,,,,,,-10.9,-41,,,,,,,,,,,,,,,,
O=C1COCC(C)O1,,,,,,,,,l,a,,,,,,-11.6,-52,,,,,,,,,,,,,,,,
O=C1COCCO1,,,,,,,,,,,,,,,,-14.1,,,,,,,,,,,,,,,,,
O=C1CSCCS1,,,,,,,,,,,,,,,,-9.5,,,,,,,,,,,,,,,,,
O=C1NCCCO1,,,,,,,,,,,,,,,,-18,,,,,,,,,,,,,,,,,
O=C1OCCCO1,,,,,,,,,,,,,,,,-26,,,,,,,,,,,,,,,,,
O=C1OCCOC1,,,,373,,,,,l,s,,,,,,-13.8,-45,,,,,,,,,,,,,,,,
O=C1SCCSC1,,,,298.15,,,,,s,s,,,,,,-9.5,-30.8,,,,,,,,,,,,,,,,
O=C1SCCSC1(C)C,,,,298.15,,,,,s,s,,,,,,-19.3,-58.4,,,,,,,,,,,,,,,,
