monomer_smiles,polymerisation_type,is_experimental,dispersity,degree_of_polymerisation,number_average_molar_mass,mass_average_molar_mass,initiator_smiles,temperature,pressure,solvent,solvent_conc,monomer_conc,monomer_state,polymer_state,solvent_model,method,comp_functional,comp_basis_set,comp_dispersion,comp_forcefield,delta_h,delta_s,ceiling_temperature,year,comment,doi,url
O=C1OCCCC1,ROP,True,,,,,OCC1=CC=CC=C1,,,toluene,,2.00,s,s,,vant_hoff,,,,,-12.0,-24.0,,2025,,10.1002/anie.202502436,https://onlinelibrary.wiley.com/doi/abs/10.1002/anie.202502436
O=C1OCCCCC1,ROP,True,,,,,OCC1=CC=CC=C1,,,toluene,,2.00,s,s,,vant_hoff,,,,,-16.2,-13.0,,2025,,10.1002/anie.202502437,https://onlinelibrary.wiley.com/doi/abs/10.1002/anie.202502437
O=C1CCCCCCCCCCCCCCO1,ROP,True,,,,,OCC1=CC=CC=C1,,,toluene,,2.00,s,s,,vant_hoff,,,,,-4.6,18.0,,2025,,10.1002/anie.202502438,https://onlinelibrary.wiley.com/doi/abs/10.1002/anie.202502438
O=C1OCCCC1,RCE,True,,,,,CC(C)(O[K])C,,,toluene,,2.00,s,s,,vant_hoff,,,,,-4.2,-7.4,,2025,,10.1002/anie.202502439,https://onlinelibrary.wiley.com/doi/abs/10.1002/anie.202502439
O=C1OCCCCC1,RCE,True,,,,,CC(C)(O[K])C,,,toluene,,2.00,s,s,,vant_hoff,,,,,-0.9,2.7,,2025,,10.1002/anie.202502440,https://onlinelibrary.wiley.com/doi/abs/10.1002/anie.202502440
O=C1CCCCCCCCCCCCCCO1,RCE,True,,,,,CC(C)(O[K])C,,,toluene,,2.00,s,s,,vant_hoff,,,,,-0.8,16.0,,2025,,10.1002/anie.202502441,https://onlinelibrary.wiley.com/doi/abs/10.1002/anie.202502441
O=C1OC(C)CCO1,ROP,True,,,,,,,,,,8.61,l,l,,DSC,,,,,-17.2,-40.7,477,2025,,10.1021/acscatal.5c01758,
O=C1OCC(C)(C)CO1,ROP,True,,,,,,,,,,7.68,l,l,,DSC,,,,,-25.0,-51.7,445,2025,,10.1021/acscatal.5c01758,
O=C1OC(C)CCC1,ROP,True,,,,,,,,,,8.76,l,l,,DSC,,,,,-19.3,-62.0,164,2025,,10.1021/acscatal.5c01758,
O=C1CCCC(C)(C)[C@@H](CC)O1,ROP,True,,,,,,,,toluene,,0.20,s,s,,vant_hoff,,,,,-16.6,-23.9,168,2025,,10.1021/acs.macromol.4c02663,
O=C1OCCCC1,ROP,True,,,,,,,,toluene/DCM,,0.35,s,s,,vant_hoff,,,,,-8.4,-14.7,298,2002,,,https://onlinelibrary.wiley.com/doi/abs/10.1002/1521-3935%2820020401%29203%3A5/6%3C889%3A%3AAID-MACP889%3E3.0.CO%3B2-O
O=C1OCCCCC1,ROP,True,,,,,,,,toluene/DCM,,2.00,s,s,,vant_hoff,,,,,-14.0,-6.0,2060,2002,,,https://onlinelibrary.wiley.com/doi/abs/10.1002/1521-3935%2820020401%29203%3A5/6%3C889%3A%3AAID-MACP889%3E3.0.CO%3B2-O
O=C1OC(C)CCC(C(C)C)C1,ROP,True,,,,,,,,,,,,,,vant_hoff,,,,,,,,,,,
