monomer_smiles,polymerisation_type,is_experimental,polymer_smiles,repeating_units,initiator_smiles,solvent,solvent_model,monomer_state,polymer_state,temperature,pressure,method,delta_h,delta_s,ceiling_temperature,delta_g,date,doi,url,comp_functional,comp_basis_set,comp_dispersion,comp_forcefield,comment,initial_monomer_conc,bulk_monomer_conc,dispersity,degree_of_polymerisation,number_average_molar_mass,mass_average_molar_mass
CC1OCCOC1=O,RER,FALSE,[*]OCCOC(C)C([*])=O,3.00,,,,,,298.15,,dft,-13.71595181,,,,2023,10.1021/acs.jpca.3c05870,,,,,,,,,,,,
CC1CCC(C(C)C)OC(=O)C1,RER,FALSE,[*]OC(CCC(C)CC([*])=O)C(C)C,3.00,,,,,,298.15,,dft,13.87573289,,,,2023,10.1021/acs.jpca.3c05870,,,,,,,,,,,,
CC1CCOC(=O)C1,RER,FALSE,[*]OCCC(C)CC([*])=O,3.00,,,,,,298.15,,dft,16.01082059,,,,2023,10.1021/acs.jpca.3c05870,,,,,,,,,,,,
O=C1CCCO1,RER,FALSE,[*]OCCCC([*])=O,3.00,,,,,,298.15,,dft,1.833305271,,,,2023,10.1021/acs.jpca.3c05870,,,,,,,,,,,,
CC1CCCC(=O)O1,RER,FALSE,[*]OC(C)CCCC([*])=O,3.00,,,,,,298.15,,dft,-14.03490709,,,,2023,10.1021/acs.jpca.3c05870,,,,,,,,,,,,
CCCCCC1CCCC(=O)O1,RER,FALSE,[*]OC(CCCCC)CCCC([*])=O,3.00,,,,,,298.15,,dft,-1.267360558,,,,2023,10.1021/acs.jpca.3c05870,,,,,,,,,,,,
O=C1COCCO1,RER,FALSE,[*]OCCOCC([*])=O,3.00,,,,,,298.15,,dft,11.14237359,,,,2023,10.1021/acs.jpca.3c05870,,,,,,,,,,,,
O=C1CCCCO1,RER,FALSE,[*]OCCCCC([*])=O,3.00,,,,,,298.15,,dft,-23.31413785,,,,2023,10.1021/acs.jpca.3c05870,,,,,,,,,,,,
O=C1CCCCCO1,RER,FALSE,[*]OCCCCCC([*])=O,3.00,,,,,,298.15,,dft,-21.88053303,,,,2023,10.1021/acs.jpca.3c05870,,,,,,,,,,,,
C=CCOCC1(CC)COC(=O)OC1,RER,FALSE,[*]CC(CC)(COCC=C)COC(=O)O[*],3.00,,,,,,298.15,,dft,-17.37939975,,,,2023,10.1021/acs.jpca.3c05870,,,,,,,,,,,,
O=C1CCCCCN1,RER,FALSE,[*]NCCCCCC([*])=O,3.00,,,,,,298.15,,dft,-14.72268517,,,,2023,10.1021/acs.jpca.3c05870,,,,,,,,,,,,
O=C1CCCCCCN1,RER,FALSE,[*]NCCCCCCC([*])=O,3.00,,,,,,298.15,,dft,-3.021831515,,,,2023,10.1021/acs.jpca.3c05870,,,,,,,,,,,,
O=C1CCCCCCCN1,RER,FALSE,[*]NCCCCCCCC([*])=O,3.00,,,,,,298.15,,dft,-19.99289416,,,,2023,10.1021/acs.jpca.3c05870,,,,,,,,,,,,
O=C1CCCCCCCCCCCN1,RER,FALSE,[*]NCCCCCCCCCCCC([*])=O,3.00,,,,,,298.15,,dft,-8.63718757,,,,2023,10.1021/acs.jpca.3c05870,,,,,,,,,,,,
C1CC1,RER,FALSE,[*]CCC[*],3.00,,,,,,298.15,,dft,-77.80608666,,,,2023,10.1021/acs.jpca.3c05870,,,,,,,,,,,,
C1CO1,RER,FALSE,[*]CCO[*],3.00,,,,,,298.15,,dft,-77.59291621,,,,2023,10.1021/acs.jpca.3c05870,,,,,,,,,,,,
C1CCC1,RER,FALSE,[*]CCCC[*],3.00,,,,,,298.15,,dft,-74.24708984,,,,2023,10.1021/acs.jpca.3c05870,,,,,,,,,,,,
O=C1CCO1,RER,FALSE,[*]OCCC([*])=O,3.00,,,,,,298.15,,dft,-61.38751255,,,,2023,10.1021/acs.jpca.3c05870,,,,,,,,,,,,
C1CCCC1,RER,FALSE,[*]CCCCC[*],3.00,,,,,,298.15,,dft,-1.506184755,,,,2023,10.1021/acs.jpca.3c05870,,,,,,,,,,,,
O=C1SC2=C(C=CC=C2)CC1,RER,FALSE,O=C([*])CCC(C=CC=C1)=C1S[*],3.00,,,,,,298.15,,dft,15.79791922,,,,2023,10.1021/acs.jpca.3c05870,,,,,,,,,,,,
O=C1SCCC2=C1C=CC=C2,RER,FALSE,O=C([*])C(C=CC=C1)=C1CCS[*],3.00,,,,,,298.15,,dft,20.97241851,,,,2023,10.1021/acs.jpca.3c05870,,,,,,,,,,,,
O=C1SC2=C(C=CC=C2)C3=C1C=CC=C3,RER,FALSE,O=C([*])C(C=CC=C1)=C1C(C=CC=C2)=C2S[*],3.00,,,,,,298.15,,dft,64.91100705,,,,2023,10.1021/acs.jpca.3c05870,,,,,,,,,,,,
O=C(CS1)N(C)CC1=O,RER,FALSE,O=C(CS[*])N(C)CC([*])=O,3.00,,,,,,298.15,,dft,3.428888993,,,,2023,10.1021/acs.jpca.3c05870,,,,,,,,,,,,
O=C(CS1)N(CC)CC1=O,RER,FALSE,O=C(CS[*])N(CC)CC([*])=O,3.00,,,,,,298.15,,dft,15.57861908,,,,2023,10.1021/acs.jpca.3c05870,,,,,,,,,,,,
O=C1SCC(N[C@H]1CC2=CC=CC=C2)=O,RER,FALSE,O=C([*])[C@H](CC1=CC=CC=C1)NC(CS[*])=O,3.00,,,,,,298.15,,dft,11.23041824,,,,2023,10.1021/acs.jpca.3c05870,,,,,,,,,,,,
O=C1S[C@H](CC2=CC=CC=C2)C(N[C@H]1CC3=CC=CC=C3)=O,RER,FALSE,O=C([*])[C@H](CC1=CC=CC=C1)NC([C@@H](CC2=CC=CC=C2)S[*])=O,3.00,,,,,,298.15,,dft,33.73019594,,,,2023,10.1021/acs.jpca.3c05870,,,,,,,,,,,,
O=C1[C@H](NC(OC(C)(C)C)=O)CS1,RER,FALSE,O=C([*])[C@H](NC(OC(C)(C)C)=O)CS[*],3.00,,,,,,298.15,,dft,-12.58206325,,,,2023,10.1021/acs.jpca.3c05870,,,,,,,,,,,,
S=C1CCS1,RER,FALSE,S=C([*])CCS[*],3.00,,,,,,298.15,,dft,-39.9990322,,,,2023,10.1021/acs.jpca.3c05870,,,,,,,,,,,,
S=C1SCCCC1,RER,FALSE,S=C([*])CCCCS[*],3.00,,,,,,298.15,,dft,5.977821166,,,,2023,10.1021/acs.jpca.3c05870,,,,,,,,,,,,
